,Country,Bank Name,Business Focus
0,Andorra,"Andorra Banc Agrícol Reig, SA","International private banking, domestic retail banking"
1,Andorra,"Banc Sabadell d’Andorra, SA","International private banking, domestic retail banking"
2,Andorra,"Crèdit Andorrà, SA","International private banking, domestic retail banking"
3,Andorra,"Mora Banc Grup, SA","International private banking, domestic retail banking"
4,Andorra,"Vall Banc, SAU  (new)","International private banking, domestic retail banking"
5,Anguilla,Caribbean Commercial Investment Bank Ltd.,Bank Category: Offshore banks
6,Anguilla,Foreign Commerce Bank Limited,Bank Category: Offshore banks
7,Anguilla,National Bank of Anguilla (Private Banking and Trust) Limited,Bank Category: Offshore banks
8,Anguilla,National Commercial Bank of Anguilla Limited  (new),Bank Category: Domestic banks
9,Anguilla,Scotiabank Anguilla Limited,Bank Category: Domestic banks
10,Austria,Addiko Bank AG,retail banking
11,Austria,Allianz Investmentbank AG,investment banking
12,Austria,Alpenbank AG,"private banking, asset management"
13,Austria,Austrian Anadi Bank AG,retail and corporate banking
14,Austria,Autobank AG,car loans
15,Austria,Banco do Brasil AG,corporate banking
16,Austria,Bank Austria Wohnbaubank AG,construction bonds
17,Austria,Bank für Tirol und Vorarlberg AG,retail and business banking
18,Austria,Bank Gutmann AG,"private banking, wealth management"
19,Austria,Bank of China (Central and Eastern Europe) Limited Vienna Branch,corporate and investment banking
20,Austria,Bank Winter & Co. AG,corporate and investment banking
21,Austria,bank99 AG,retail banking
22,Austria,Bankhaus Carl Spängler & Co. AG,"private banking, asset management"
23,Austria,Bankhaus Denzel AG,retail banking
24,Austria,Bankhaus Schelhammer & Schattera AG,private banking
25,Austria,Bausparkasse der österreichischen Sparkassen AG,housing financing
26,Austria,Bausparkasse Wüstenrot AG,housing financing
27,Austria,BAWAG P.S.K.,retail and business banking
28,Austria,BAWAG P.S.K. Wohnbaubank AG,housing financing
29,Austria,BKS Bank AG,universal banking
30,Austria,BMW Austria Bank GmbH,vehicle financing for BMW brands
31,Austria,BNP PARIBAS PERSONAL FINANCE SA Niederlassung Österreich,consumer finance
32,Austria,BNP Paribas SA Niederlassung Österreich,corporate and institutional banking
33,Austria,CAPITAL BANK - GRAWE GRUPPE AG,private banking
34,Austria,card complete Service Bank AG,payment cards and related services
35,Austria,"Citibank Europe plc, Austria Branch",corporate and investment banking
36,Austria,Commerzbank AG Niederlassung Wien,corporate banking
37,Austria,Commerzialbank Mattersburg im Burgenland AG,regional universal banking
38,Austria,Crédit Suisse (Luxembourg) S.A. Zweigniederlassung Österreich,private banking and asset management
39,Austria,DenizBank AG,retail and business banking
40,Austria,Deutsche Bank AG Filiale Wien,corporate and investment banking
41,Austria,DolomitenBank Osttirol-Westkärnten eG,cooperative retail banking
42,Austria,Erste Bank der oesterreichischen Sparkassen AG,retail banking
43,Austria,Erste Group Bank AG,retail banking
44,Austria,European American Investment Bank AG,"private banking, wealth management"
45,Austria,FCA Bank GmbH,vehicle financing for Fiat and Chrysler brands
46,Austria,FIL Fondsbank GmbH Zweigniederlassung Wien,investment management
47,Austria,flatex Bank AG,securities trading
48,Austria,"Ford Bank Austria, Zweigniederlassung der FCE BANK PLC",vehicle financing for Ford brands
49,Austria,Generali Bank AG,"direct retail banking, online brokerage"
50,Austria,Hellobank BNP Paribas Austria AG,"retail banking, online brokerage"
51,Austria,HYPO NOE Landesbank für Niederösterreich und Wien AG,real estate financing
52,Austria,HYPO TIROL BANK AG,real estate financing
53,Austria,Hypo Vorarlberg Bank AG,real estate financing
54,Austria,HYPO-BANK BURGENLAND AG,real estate financing
55,Austria,ICBC Austria Bank GmbH,corporate banking
56,Austria,ING-DiBa Austria Niederlassung der ING-DiBa AG,direct retail banking
57,Austria,Kathrein Privatbank AG,"private banking, asset management"
58,Austria,Kommunalkredit Austria AG,public sector financing
59,Austria,Landes-Hypothekenbank Steiermark AG,real estate financing
60,Austria,LEASFINANZ Bank GmbH,leasing
61,Austria,"LGT Bank AG, Zweigniederlassung Österreich",private banking and asset management
62,Austria,Liechtensteinische Landesbank (Österreich) AG,wealth and asset management
63,Austria,Marchfelder Bank eG,cooperative retail banking
64,Austria,Mercedes-Benz Bank GmbH,vehicle financing for Daimler brands
65,Austria,Mizuho Bank Europe NV Vienna Branch,corporate banking
66,Austria,MUFG Bank (Europe) NV Vienna Branch,corporate and investment banking
67,Austria,NOTARTREUHANDBANK AG,cooperative retail banking
68,Austria,Oberbank AG,"retail banking, brokerage services"
69,Austria,Oberösterreichische Landesbank AG,real estate financing
70,Austria,Oesterreichische Entwicklungsbank AG,emerging markets financing
71,Austria,Oesterreichische Kontrollbank AG,information services
72,Austria,Oesterreichische Nationalbank,central banking
73,Austria,Österreichische Ärzte- und Apothekerbank AG,cooperative retail banking
74,Austria,Österreichische Verkehrskreditbank AG,consumer lending
75,Austria,PARTNER BANK AG,asset management
76,Austria,paybox Bank AG,mobile payments
77,Austria,Porsche Bank AG,vehicle financing
78,Austria,Posojilnica Bank eGen,cooperative retail banking
79,Austria,"PSA Bank Österreich, Niederlassung der PSA Bank Deutschland GmbH",vehicle financing
80,Austria,Raiffeisen Bank International AG,corporate and investment banking
81,Austria,Raiffeisen Bausparkasse GmbH,housing financing
82,Austria,Raiffeisen Centrobank AG,investment banking
83,Austria,Raiffeisen Wohnbaubank AG,construction financing
84,Austria,Raiffeisen-Landesbank Steiermark AG,cooperative retail banking
85,Austria,Raiffeisen-Landesbank Tirol AG,cooperative retail banking
86,Austria,Raiffeisenlandesbank Burgenland und Revisionsverband eGen,cooperative retail banking
87,Austria,Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband reg.Gen.mbH,cooperative retail banking
88,Austria,RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG,cooperative retail banking
89,Austria,Raiffeisenlandesbank Oberösterreich AG,cooperative retail banking
90,Austria,Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband reg.Gen.mbH,cooperative retail banking
91,Austria,Raiffeisenverband Salzburg eGen,cooperative retail banking
92,Austria,"RCI Banque SA, Niederlassung Österreich",vehicle financing for Renault brands
93,Austria,s Wohnbaubank AG,construction financing
94,Austria,SALZBURGER LANDES-HYPOTHEKENBANK AG,real estate financing
95,Austria,Santander Consumer Bank GmbH,retail banking
96,Austria,Sberbank Europe AG,corporate banking
97,Austria,Schoellerbank AG,"private banking, asset management"
98,Austria,Société Générale Zweigniederlassung Wien,securities services
99,Austria,SPAR-FINANZ BANK AG,consumer credit
100,Austria,Standard Chartered Bank Zweigniederlassung Wien,corporate and institutional banking
101,Austria,start:bausparkasse AG,housing financing
102,Austria,State Street Bank International GmbH Filiale Wien,investment banking
103,Austria,Steyler Bank GmbH,retail banking
104,Austria,TeamBank Österreich - Niederlassung der TeamBank AG Nürnberg,consumer credit
105,Austria,Toyota Kreditbank GmbH Zweigniederlassung Österreich,vehicle financing for Toyota brands
106,Austria,UBS Europe SE Niederlassung Österreich,wealth management
107,Austria,"UniCredit Bank AG, Zweigniederlassung Wien",universal banking
108,Austria,UniCredit Bank Austria AG,universal banking
109,Austria,VakifBank International AG,retail and business banking
110,Austria,Volksbank Kärnten eG,cooperative retail banking
111,Austria,Volksbank Niederösterreich AG,cooperative retail banking
112,Austria,Volksbank Oberösterreich AG,cooperative retail banking
113,Austria,Volksbank Raiffeisenbank Oberbayern Südost eG-Zweigniederlassung VR-Bank Salzburg,retail banking
114,Austria,Volksbank Salzburg eG,cooperative retail banking
115,Austria,Volksbank Steiermark AG,cooperative retail banking
116,Austria,Volksbank Tirol AG,cooperative retail banking
117,Austria,VOLKSBANK VORARLBERG e. Gen.,cooperative retail banking
118,Austria,VOLKSBANK WIEN AG,cooperative retail banking
119,Austria,Volkskreditbank AG,regional retail banking
120,Austria,"VTB Bank (Europe) SE, Zweigniederlassung Wien",global transaction settlement
121,Austria,Walser Privatbank AG,private banking and asset management
122,Austria,Western Union International Bank GmbH,business payment solutions
123,Austria,Wiener Privatbank SE,"private banking, asset management"
124,Austria,WSK Bank AG,retail banking
125,Austria,Zürcher Kantonalbank Österreich AG,asset management
126,Belgium,Addiko Bank AG,retail banking
127,Belgium,Allianz Investmentbank AG,investment banking
128,Belgium,Alpenbank AG,"private banking, asset management"
129,Belgium,Austrian Anadi Bank AG,retail and corporate banking
130,Belgium,Autobank AG,car loans
131,Belgium,Banco do Brasil AG,corporate banking
132,Belgium,Bank Austria Wohnbaubank AG,construction bonds
133,Belgium,Bank für Tirol und Vorarlberg AG,retail and business banking
134,Belgium,Bank Gutmann AG,"private banking, wealth management"
135,Belgium,Bank of China (Central and Eastern Europe) Limited Vienna Branch,corporate and investment banking
136,Belgium,Bank Winter & Co. AG,corporate and investment banking
137,Belgium,bank99 AG,retail banking
138,Belgium,Bankhaus Carl Spängler & Co. AG,"private banking, asset management"
139,Belgium,Bankhaus Denzel AG,retail banking
140,Belgium,Bankhaus Schelhammer & Schattera AG,private banking
141,Belgium,Bausparkasse der österreichischen Sparkassen AG,housing financing
142,Belgium,Bausparkasse Wüstenrot AG,housing financing
143,Belgium,BAWAG P.S.K.,retail and business banking
144,Belgium,BAWAG P.S.K. Wohnbaubank AG,housing financing
145,Belgium,BKS Bank AG,universal banking
146,Belgium,BMW Austria Bank GmbH,vehicle financing for BMW brands
147,Belgium,BNP PARIBAS PERSONAL FINANCE SA Niederlassung Österreich,consumer finance
148,Belgium,BNP Paribas SA Niederlassung Österreich,corporate and institutional banking
149,Belgium,CAPITAL BANK - GRAWE GRUPPE AG,private banking
150,Belgium,card complete Service Bank AG,payment cards and related services
151,Belgium,"Citibank Europe plc, Austria Branch",corporate and investment banking
152,Belgium,Commerzbank AG Niederlassung Wien,corporate banking
153,Belgium,Commerzialbank Mattersburg im Burgenland AG,regional universal banking
154,Belgium,Crédit Suisse (Luxembourg) S.A. Zweigniederlassung Österreich,private banking and asset management
155,Belgium,DenizBank AG,retail and business banking
156,Belgium,Deutsche Bank AG Filiale Wien,corporate and investment banking
157,Belgium,DolomitenBank Osttirol-Westkärnten eG,cooperative retail banking
158,Belgium,Erste Bank der oesterreichischen Sparkassen AG,retail banking
159,Belgium,Erste Group Bank AG,retail banking
160,Belgium,European American Investment Bank AG,"private banking, wealth management"
161,Belgium,FCA Bank GmbH,vehicle financing for Fiat and Chrysler brands
162,Belgium,FIL Fondsbank GmbH Zweigniederlassung Wien,investment management
163,Belgium,flatex Bank AG,securities trading
164,Belgium,"Ford Bank Austria, Zweigniederlassung der FCE BANK PLC",vehicle financing for Ford brands
165,Belgium,Generali Bank AG,"direct retail banking, online brokerage"
166,Belgium,Hellobank BNP Paribas Austria AG,"retail banking, online brokerage"
167,Belgium,HYPO NOE Landesbank für Niederösterreich und Wien AG,real estate financing
168,Belgium,HYPO TIROL BANK AG,real estate financing
169,Belgium,Hypo Vorarlberg Bank AG,real estate financing
170,Belgium,HYPO-BANK BURGENLAND AG,real estate financing
171,Belgium,ICBC Austria Bank GmbH,corporate banking
172,Belgium,ING-DiBa Austria Niederlassung der ING-DiBa AG,direct retail banking
173,Belgium,Kathrein Privatbank AG,"private banking, asset management"
174,Belgium,Kommunalkredit Austria AG,public sector financing
175,Belgium,Landes-Hypothekenbank Steiermark AG,real estate financing
176,Belgium,LEASFINANZ Bank GmbH,leasing
177,Belgium,"LGT Bank AG, Zweigniederlassung Österreich",private banking and asset management
178,Belgium,Liechtensteinische Landesbank (Österreich) AG,wealth and asset management
179,Belgium,Marchfelder Bank eG,cooperative retail banking
180,Belgium,Mercedes-Benz Bank GmbH,vehicle financing for Daimler brands
181,Belgium,Mizuho Bank Europe NV Vienna Branch,corporate banking
182,Belgium,MUFG Bank (Europe) NV Vienna Branch,corporate and investment banking
183,Belgium,NOTARTREUHANDBANK AG,cooperative retail banking
184,Belgium,Oberbank AG,"retail banking, brokerage services"
185,Belgium,Oberösterreichische Landesbank AG,real estate financing
186,Belgium,Oesterreichische Entwicklungsbank AG,emerging markets financing
187,Belgium,Oesterreichische Kontrollbank AG,information services
188,Belgium,Oesterreichische Nationalbank,central banking
189,Belgium,Österreichische Ärzte- und Apothekerbank AG,cooperative retail banking
190,Belgium,Österreichische Verkehrskreditbank AG,consumer lending
191,Belgium,PARTNER BANK AG,asset management
192,Belgium,paybox Bank AG,mobile payments
193,Belgium,Porsche Bank AG,vehicle financing
194,Belgium,Posojilnica Bank eGen,cooperative retail banking
195,Belgium,"PSA Bank Österreich, Niederlassung der PSA Bank Deutschland GmbH",vehicle financing
196,Belgium,Raiffeisen Bank International AG,corporate and investment banking
197,Belgium,Raiffeisen Bausparkasse GmbH,housing financing
198,Belgium,Raiffeisen Centrobank AG,investment banking
199,Belgium,Raiffeisen Wohnbaubank AG,construction financing
200,Belgium,Raiffeisen-Landesbank Steiermark AG,cooperative retail banking
201,Belgium,Raiffeisen-Landesbank Tirol AG,cooperative retail banking
202,Belgium,Raiffeisenlandesbank Burgenland und Revisionsverband eGen,cooperative retail banking
203,Belgium,Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband reg.Gen.mbH,cooperative retail banking
204,Belgium,RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG,cooperative retail banking
205,Belgium,Raiffeisenlandesbank Oberösterreich AG,cooperative retail banking
206,Belgium,Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband reg.Gen.mbH,cooperative retail banking
207,Belgium,Raiffeisenverband Salzburg eGen,cooperative retail banking
208,Belgium,"RCI Banque SA, Niederlassung Österreich",vehicle financing for Renault brands
209,Belgium,s Wohnbaubank AG,construction financing
210,Belgium,SALZBURGER LANDES-HYPOTHEKENBANK AG,real estate financing
211,Belgium,Santander Consumer Bank GmbH,retail banking
212,Belgium,Sberbank Europe AG,corporate banking
213,Belgium,Schoellerbank AG,"private banking, asset management"
214,Belgium,Société Générale Zweigniederlassung Wien,securities services
215,Belgium,SPAR-FINANZ BANK AG,consumer credit
216,Belgium,Standard Chartered Bank Zweigniederlassung Wien,corporate and institutional banking
217,Belgium,start:bausparkasse AG,housing financing
218,Belgium,State Street Bank International GmbH Filiale Wien,investment banking
219,Belgium,Steyler Bank GmbH,retail banking
220,Belgium,TeamBank Österreich - Niederlassung der TeamBank AG Nürnberg,consumer credit
221,Belgium,Toyota Kreditbank GmbH Zweigniederlassung Österreich,vehicle financing for Toyota brands
222,Belgium,UBS Europe SE Niederlassung Österreich,wealth management
223,Belgium,"UniCredit Bank AG, Zweigniederlassung Wien",universal banking
224,Belgium,UniCredit Bank Austria AG,universal banking
225,Belgium,VakifBank International AG,retail and business banking
226,Belgium,Volksbank Kärnten eG,cooperative retail banking
227,Belgium,Volksbank Niederösterreich AG,cooperative retail banking
228,Belgium,Volksbank Oberösterreich AG,cooperative retail banking
229,Belgium,Volksbank Raiffeisenbank Oberbayern Südost eG-Zweigniederlassung VR-Bank Salzburg,retail banking
230,Belgium,Volksbank Salzburg eG,cooperative retail banking
231,Belgium,Volksbank Steiermark AG,cooperative retail banking
232,Belgium,Volksbank Tirol AG,cooperative retail banking
233,Belgium,VOLKSBANK VORARLBERG e. Gen.,cooperative retail banking
234,Belgium,VOLKSBANK WIEN AG,cooperative retail banking
235,Belgium,Volkskreditbank AG,regional retail banking
236,Belgium,"VTB Bank (Europe) SE, Zweigniederlassung Wien",global transaction settlement
237,Belgium,Walser Privatbank AG,private banking and asset management
238,Belgium,Western Union International Bank GmbH,business payment solutions
239,Belgium,Wiener Privatbank SE,"private banking, asset management"
240,Belgium,WSK Bank AG,retail banking
241,Belgium,Zürcher Kantonalbank Österreich AG,asset management
242,Bermuda,Bermuda Commercial Bank Limited,"Universal banking, international banking"
243,Bermuda,Clarien Bank Limited,Private banking and wealth management
244,Bermuda,HSBC Bank Bermuda Limited,"Universal banking, international banking"
245,Bermuda,The Bank of N T Butterfield & Son Limited,Private banking and wealth management
246,British Virgin Islands,Banco Popular de Puerto Rico,"Retail banking, corporate banking, offshore banking"
247,British Virgin Islands,Bank of Asia (BVI) Limited  (new),Offshore banking
248,British Virgin Islands,FirstBank Puerto Rico,"Retail banking, commercial banking"
249,British Virgin Islands,FirstCaribbean International Bank (Cayman) Limited,"Universal banking, international banking, wealth management"
250,British Virgin Islands,National Bank of the Virgin Islands Limited,"Retail banking, business banking"
251,British Virgin Islands,Scotiabank (British Virgin Islands) Limited,"Retail banking, business banking"
252,British Virgin Islands,VP Bank (BVI) Limited,"Private banking, asset management"
253,Bulgaria,Allianz Bank Bulgaria AD,Universal banking
254,Bulgaria,"BNP Paribas Personal Finance S.A., Bulgaria Branch  (new)",Consumer finance
255,Bulgaria,BNP Paribas S.A. - Sofia Branch,Corporate banking
256,Bulgaria,Bulgarian Development Bank AD,Retail banking for SMEs
257,Bulgaria,Bulgarian National Bank,Central banking
258,Bulgaria,Bulgarian-American Credit Bank AD,Universal banking
259,Bulgaria,Central Cooperative Bank AD,Universal banking
260,Bulgaria,"Citibank Europe plc, Bulgaria Branch",Corporate and investment banking
261,Bulgaria,D Commerce Bank AD,Universal banking
262,Bulgaria,DSK Bank EAD,Universal banking
263,Bulgaria,Eurobank Bulgaria AD,Universal banking
264,Bulgaria,Expressbank AD,Universal banking
265,Bulgaria,First Investment Bank AD,Universal banking
266,Bulgaria,ING Bank NV - Sofia Branch,Corporate banking
267,Bulgaria,International Asset Bank AD,Universal banking
268,Bulgaria,Investbank AD,Universal banking
269,Bulgaria,Municipal Bank AD,Universal banking
270,Bulgaria,ProCredit Bank (Bulgaria) EAD,SME lending
271,Bulgaria,Raiffeisenbank (Bulgaria) EAD,Universal banking
272,Bulgaria,T. C. Ziraat Bankasi - Sofia Branch,Universal banking
273,Bulgaria,TBI Bank EAD,Universal banking
274,Bulgaria,Texim Bank AD,Universal banking
275,Bulgaria,Tokuda Bank AD,Universal banking
276,Bulgaria,UniCredit Bulbank AD,Universal banking
277,Bulgaria,United Bulgarian Bank AD,Universal banking
278,Bulgaria,"Varengold Bank AG, Sofia Branch  (new)",Corporate banking
279,Cayman Islands,Addiko Bank AG,retail banking
280,Cayman Islands,Allianz Investmentbank AG,investment banking
281,Cayman Islands,Alpenbank AG,"private banking, asset management"
282,Cayman Islands,Austrian Anadi Bank AG,retail and corporate banking
283,Cayman Islands,Autobank AG,car loans
284,Cayman Islands,Banco do Brasil AG,corporate banking
285,Cayman Islands,Bank Austria Wohnbaubank AG,construction bonds
286,Cayman Islands,Bank für Tirol und Vorarlberg AG,retail and business banking
287,Cayman Islands,Bank Gutmann AG,"private banking, wealth management"
288,Cayman Islands,Bank of China (Central and Eastern Europe) Limited Vienna Branch,corporate and investment banking
289,Cayman Islands,Bank Winter & Co. AG,corporate and investment banking
290,Cayman Islands,bank99 AG,retail banking
291,Cayman Islands,Bankhaus Carl Spängler & Co. AG,"private banking, asset management"
292,Cayman Islands,Bankhaus Denzel AG,retail banking
293,Cayman Islands,Bankhaus Schelhammer & Schattera AG,private banking
294,Cayman Islands,Bausparkasse der österreichischen Sparkassen AG,housing financing
295,Cayman Islands,Bausparkasse Wüstenrot AG,housing financing
296,Cayman Islands,BAWAG P.S.K.,retail and business banking
297,Cayman Islands,BAWAG P.S.K. Wohnbaubank AG,housing financing
298,Cayman Islands,BKS Bank AG,universal banking
299,Cayman Islands,BMW Austria Bank GmbH,vehicle financing for BMW brands
300,Cayman Islands,BNP PARIBAS PERSONAL FINANCE SA Niederlassung Österreich,consumer finance
301,Cayman Islands,BNP Paribas SA Niederlassung Österreich,corporate and institutional banking
302,Cayman Islands,CAPITAL BANK - GRAWE GRUPPE AG,private banking
303,Cayman Islands,card complete Service Bank AG,payment cards and related services
304,Cayman Islands,"Citibank Europe plc, Austria Branch",corporate and investment banking
305,Cayman Islands,Commerzbank AG Niederlassung Wien,corporate banking
306,Cayman Islands,Commerzialbank Mattersburg im Burgenland AG,regional universal banking
307,Cayman Islands,Crédit Suisse (Luxembourg) S.A. Zweigniederlassung Österreich,private banking and asset management
308,Cayman Islands,DenizBank AG,retail and business banking
309,Cayman Islands,Deutsche Bank AG Filiale Wien,corporate and investment banking
310,Cayman Islands,DolomitenBank Osttirol-Westkärnten eG,cooperative retail banking
311,Cayman Islands,Erste Bank der oesterreichischen Sparkassen AG,retail banking
312,Cayman Islands,Erste Group Bank AG,retail banking
313,Cayman Islands,European American Investment Bank AG,"private banking, wealth management"
314,Cayman Islands,FCA Bank GmbH,vehicle financing for Fiat and Chrysler brands
315,Cayman Islands,FIL Fondsbank GmbH Zweigniederlassung Wien,investment management
316,Cayman Islands,flatex Bank AG,securities trading
317,Cayman Islands,"Ford Bank Austria, Zweigniederlassung der FCE BANK PLC",vehicle financing for Ford brands
318,Cayman Islands,Generali Bank AG,"direct retail banking, online brokerage"
319,Cayman Islands,Hellobank BNP Paribas Austria AG,"retail banking, online brokerage"
320,Cayman Islands,HYPO NOE Landesbank für Niederösterreich und Wien AG,real estate financing
321,Cayman Islands,HYPO TIROL BANK AG,real estate financing
322,Cayman Islands,Hypo Vorarlberg Bank AG,real estate financing
323,Cayman Islands,HYPO-BANK BURGENLAND AG,real estate financing
324,Cayman Islands,ICBC Austria Bank GmbH,corporate banking
325,Cayman Islands,ING-DiBa Austria Niederlassung der ING-DiBa AG,direct retail banking
326,Cayman Islands,Kathrein Privatbank AG,"private banking, asset management"
327,Cayman Islands,Kommunalkredit Austria AG,public sector financing
328,Cayman Islands,Landes-Hypothekenbank Steiermark AG,real estate financing
329,Cayman Islands,LEASFINANZ Bank GmbH,leasing
330,Cayman Islands,"LGT Bank AG, Zweigniederlassung Österreich",private banking and asset management
331,Cayman Islands,Liechtensteinische Landesbank (Österreich) AG,wealth and asset management
332,Cayman Islands,Marchfelder Bank eG,cooperative retail banking
333,Cayman Islands,Mercedes-Benz Bank GmbH,vehicle financing for Daimler brands
334,Cayman Islands,Mizuho Bank Europe NV Vienna Branch,corporate banking
335,Cayman Islands,MUFG Bank (Europe) NV Vienna Branch,corporate and investment banking
336,Cayman Islands,NOTARTREUHANDBANK AG,cooperative retail banking
337,Cayman Islands,Oberbank AG,"retail banking, brokerage services"
338,Cayman Islands,Oberösterreichische Landesbank AG,real estate financing
339,Cayman Islands,Oesterreichische Entwicklungsbank AG,emerging markets financing
340,Cayman Islands,Oesterreichische Kontrollbank AG,information services
341,Cayman Islands,Oesterreichische Nationalbank,central banking
342,Cayman Islands,Österreichische Ärzte- und Apothekerbank AG,cooperative retail banking
343,Cayman Islands,Österreichische Verkehrskreditbank AG,consumer lending
344,Cayman Islands,PARTNER BANK AG,asset management
345,Cayman Islands,paybox Bank AG,mobile payments
346,Cayman Islands,Porsche Bank AG,vehicle financing
347,Cayman Islands,Posojilnica Bank eGen,cooperative retail banking
348,Cayman Islands,"PSA Bank Österreich, Niederlassung der PSA Bank Deutschland GmbH",vehicle financing
349,Cayman Islands,Raiffeisen Bank International AG,corporate and investment banking
350,Cayman Islands,Raiffeisen Bausparkasse GmbH,housing financing
351,Cayman Islands,Raiffeisen Centrobank AG,investment banking
352,Cayman Islands,Raiffeisen Wohnbaubank AG,construction financing
353,Cayman Islands,Raiffeisen-Landesbank Steiermark AG,cooperative retail banking
354,Cayman Islands,Raiffeisen-Landesbank Tirol AG,cooperative retail banking
355,Cayman Islands,Raiffeisenlandesbank Burgenland und Revisionsverband eGen,cooperative retail banking
356,Cayman Islands,Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband reg.Gen.mbH,cooperative retail banking
357,Cayman Islands,RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG,cooperative retail banking
358,Cayman Islands,Raiffeisenlandesbank Oberösterreich AG,cooperative retail banking
359,Cayman Islands,Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband reg.Gen.mbH,cooperative retail banking
360,Cayman Islands,Raiffeisenverband Salzburg eGen,cooperative retail banking
361,Cayman Islands,"RCI Banque SA, Niederlassung Österreich",vehicle financing for Renault brands
362,Cayman Islands,s Wohnbaubank AG,construction financing
363,Cayman Islands,SALZBURGER LANDES-HYPOTHEKENBANK AG,real estate financing
364,Cayman Islands,Santander Consumer Bank GmbH,retail banking
365,Cayman Islands,Sberbank Europe AG,corporate banking
366,Cayman Islands,Schoellerbank AG,"private banking, asset management"
367,Cayman Islands,Société Générale Zweigniederlassung Wien,securities services
368,Cayman Islands,SPAR-FINANZ BANK AG,consumer credit
369,Cayman Islands,Standard Chartered Bank Zweigniederlassung Wien,corporate and institutional banking
370,Cayman Islands,start:bausparkasse AG,housing financing
371,Cayman Islands,State Street Bank International GmbH Filiale Wien,investment banking
372,Cayman Islands,Steyler Bank GmbH,retail banking
373,Cayman Islands,TeamBank Österreich - Niederlassung der TeamBank AG Nürnberg,consumer credit
374,Cayman Islands,Toyota Kreditbank GmbH Zweigniederlassung Österreich,vehicle financing for Toyota brands
375,Cayman Islands,UBS Europe SE Niederlassung Österreich,wealth management
376,Cayman Islands,"UniCredit Bank AG, Zweigniederlassung Wien",universal banking
377,Cayman Islands,UniCredit Bank Austria AG,universal banking
378,Cayman Islands,VakifBank International AG,retail and business banking
379,Cayman Islands,Volksbank Kärnten eG,cooperative retail banking
380,Cayman Islands,Volksbank Niederösterreich AG,cooperative retail banking
381,Cayman Islands,Volksbank Oberösterreich AG,cooperative retail banking
382,Cayman Islands,Volksbank Raiffeisenbank Oberbayern Südost eG-Zweigniederlassung VR-Bank Salzburg,retail banking
383,Cayman Islands,Volksbank Salzburg eG,cooperative retail banking
384,Cayman Islands,Volksbank Steiermark AG,cooperative retail banking
385,Cayman Islands,Volksbank Tirol AG,cooperative retail banking
386,Cayman Islands,VOLKSBANK VORARLBERG e. Gen.,cooperative retail banking
387,Cayman Islands,VOLKSBANK WIEN AG,cooperative retail banking
388,Cayman Islands,Volkskreditbank AG,regional retail banking
389,Cayman Islands,"VTB Bank (Europe) SE, Zweigniederlassung Wien",global transaction settlement
390,Cayman Islands,Walser Privatbank AG,private banking and asset management
391,Cayman Islands,Western Union International Bank GmbH,business payment solutions
392,Cayman Islands,Wiener Privatbank SE,"private banking, asset management"
393,Cayman Islands,WSK Bank AG,retail banking
394,Cayman Islands,Zürcher Kantonalbank Österreich AG,asset management
395,Croatia,Addiko Bank d.d.,Retail banking
396,Croatia,Agram banka d.d.,Retail and corporate banking
397,Croatia,Banka Kovanica d.d.,Retail and corporate banking
398,Croatia,"BKS Bank AG, Glavna podružnica Hrvatska",Universal banking
399,Croatia,Croatia banka d.d.,Retail and corporate banking
400,Croatia,Erste & Steiermärkische Bank d.d.,Retail and corporate banking
401,Croatia,Hrvatska Narodna Banka,Central banking
402,Croatia,Hrvatska poštanska banka d.d.,Retail and corporate banking
403,Croatia,Imex banka d.d.,Retail and corporate banking
404,Croatia,Istarska kreditna banka Umag d.d.,Retail and corporate banking
405,Croatia,J&T banka d.d.,Retail and corporate banking
406,Croatia,Karlovačka banka d.d.,Retail and corporate banking
407,Croatia,KentBank d.d.,Retail and corporate banking
408,Croatia,OTP banka d.d.,Retail and corporate banking
409,Croatia,Partner banka d.d.,Retail and corporate banking
410,Croatia,PBZ stambena štedionica d.d.,Housing financing
411,Croatia,Podravska banka d.d.,"Retail banking, online brokerage"
412,Croatia,Privredna banka Zagreb d.d.,Retail and corporate banking
413,Croatia,Raiffeisen stambena štedionica d.d.,Housing financing
414,Croatia,Raiffeisenbank Austria d.d.,Retail and corporate banking
415,Croatia,Samoborska banka d.d.,Retail and corporate banking
416,Croatia,Sberbank d.d.,Universal banking
417,Croatia,Slatinska banka d.d.,Retail and corporate banking
418,Croatia,Wüstenrot stambena štedionica d.d.,Housing financing
419,Croatia,Zagrebačka banka d.d.,Retail and corporate banking
420,Curacao,Addiko Bank AG,retail banking
421,Curacao,Allianz Investmentbank AG,investment banking
422,Curacao,Alpenbank AG,"private banking, asset management"
423,Curacao,Austrian Anadi Bank AG,retail and corporate banking
